,,,,High Turnovers,High Turnovers,High Turnovers
,pos,team,PPDA,total,shot ending,goal ending
0,1,Manchester City,11.5,377.0,80.0,11.0
1,2,Manchester United,11.9,289.0,46.0,4.0
2,3,Liverpool,10.4,367.0,67.0,4.0
3,4,Chelsea,10.4,275.0,39.0,2.0
4,5,Leicester City,11.2,289.0,52.0,7.0
5,6,West Ham United,17.0,234.0,28.0,2.0
6,7,Tottenham Hotspur,12.4,228.0,37.0,5.0
7,8,Arsenal,14.3,266.0,41.0,6.0
8,9,Leeds United,9.3,274.0,41.0,5.0
9,10,Everton,14.8,244.0,27.0,2.0
10,11,Aston Villa,12.4,265.0,41.0,9.0
11,12,Newcastle United,18.3,180.0,40.0,5.0
12,13,Wolverhampton Wanderers,15.5,205.0,42.0,1.0
13,14,Crystal Palace,16.6,248.0,29.0,0.0
14,15,Southampton,11.2,282.0,36.0,3.0
15,16,Brighton and Hove Albion,11.5,321.0,58.0,3.0
16,17,Burnley,14.6,296.0,43.0,5.0
17,18,Fulham,13.4,294.0,40.0,4.0
18,19,West Bromwich Albion,17.4,279.0,41.0,5.0
19,20,Sheffield United,14.9,235.0,22.0,2.0
